date,close_aluminum,close_copper,close_freight,close_gas,close_oil,pct_change_aluminum,pct_change_copper,pct_change_freight,pct_change_gas,pct_change_oil,rolling_7d_avg_aluminum,rolling_7d_avg_copper,rolling_7d_avg_freight,rolling_7d_avg_gas,rolling_7d_avg_oil,rolling_7d_std_aluminum,rolling_7d_std_copper,rolling_7d_std_freight,rolling_7d_std_gas,rolling_7d_std_oil,volatility_flag_aluminum,volatility_flag_copper,volatility_flag_freight,volatility_flag_gas,volatility_flag_oil,avg_urgency,max_urgency,article_count,avg_sentiment,max_sentiment,avg_geo_risk,max_geo_risk,critical_countries,fetched_at
2026-03-23,3076.0,5.4395,9.99,2.891,88.13,-0.8382,1.8156,-0.1998,-6.5913,-10.3641,3220.6071,5.5715,10.33,3.0577,95.3329,119.1467,0.1741,0.3168,0.0896,3.6047,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-24,3138.0,5.4225,9.8,2.943,92.35,2.0156,-0.3125,-1.9019,1.7987,4.7884,3185.5714,5.5298,10.2314,3.0309,94.4243,97.4289,0.169,0.3627,0.0921,3.4078,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-25,3135.0,5.529,10.0,2.952,90.32,-0.0956,1.964,2.0408,0.3058,-2.1982,3163.5,5.4924,10.1357,3.0207,93.97,86.8913,0.1249,0.3127,0.0969,3.7466,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-26,3161.5,5.4465,10.0,2.999,94.48,0.8453,-1.4921,0.0,1.5921,4.6058,3144.9286,5.4524,10.0743,3.0159,93.7229,66.466,0.0704,0.2863,0.097,3.6295,True,False,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-27,3187.5,5.467,9.93,3.095,99.64,0.8224,0.3764,-0.7,3.2011,5.4615,3131.3929,5.44,9.9643,3.0201,94.1971,36.921,0.0556,0.0781,0.1002,4.1979,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-30,3336.25,5.476,9.94,2.887,102.88,4.6667,0.1646,0.1007,-6.7205,3.2517,3162.3214,5.4461,9.9529,2.9803,95.16,84.9645,0.0571,0.0743,0.0871,5.3363,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-31,3405.5,5.5875,9.97,2.884,101.38,2.0757,2.0362,0.3018,-0.1039,-1.458,3205.6786,5.4811,9.9471,2.9501,95.5971,119.4795,0.058,0.0706,0.0767,5.7478,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-04-01,3452.25,5.624,10.325,2.819,100.12,1.3728,0.6532,3.5607,-2.2538,-1.2428,3259.4286,5.5075,9.995,2.9399,97.31,135.0368,0.0753,0.1606,0.0897,4.8714,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-04-02,3411.0,5.563,10.45,2.8,111.54,-1.1949,-1.0846,1.2107,-0.674,11.4063,3298.4286,5.5276,10.0879,2.9194,100.0514,133.5363,0.0671,0.2096,0.104,6.6792,True,False,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-04-06,3405.0,5.667,0.0,2.849,111.23,-0.1759,1.8695,0.0,1.75,-0.2779,3337.0,5.5473,0.0,2.9047,103.0386,116.3514,0.0854,0.0,0.1059,6.2645,True,False,0,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
